PerAdmin	CostCenter	
T01	5940000001	
T01	5940000002	
T01	5940000003	
T01	5940000004	
T01	5940000005	
T01	5940010010	
T01	5940200000	
T01	5940300000	
T01	5940400000	
T01	5940500000	
T01	5950010010	
SUI	6001206378	
SUI	6001607436	
SUI	6002207420	
SUI	6002307437	
SUI	6002307438	
SUI	6002307442	
SUI	6002407415	
SUI	6005408636	
SUH	6001116018	
SUH	6001116024	
SUH	6001206377	
SUH	6001316360	
SKA	4500040020	
SKA	4500040300	
SKA	4500150023	
SKA	4500150240	
SKA	4500150245	
SJ2	5550000200	
SJ1	4404516592	
SIF	4680010010	
SIF	4680020010	
SIF	4680020020	
SIF	4680020030	
SIF	4680020040	
SIF	4680020050	
SIF	4680020070	
SIF	4680020080	
SIF	4680030010	
SIF	5550000200	
SIF	5550000210	
SIF	6740010010	
SIF	6750010010	
SIF	6780010010	
SID	4680020030	
SIB	4500220001	
SIB	4500220002	
SIB	4500220003	
SIB	4500220004	
SIB	4500220005	
SIB	4500220006	
SIB	4500220007	
SIA	4500040031	
SIA	4500040061	
SIA	4500040062	
SIA	4500040070	
SIA	4500150250	
SIA	4500150251	
SIA	4800830306	
SIA	4800910306	
SHS	4500030185	
SHS	4500030260	
SHS	4800010028	
SHS	4800010029	
SH9	4500080022	
SH6	4500170090	
SH6	4500170150	
SH6	4500170195	
SH4	4500020010	
SH4	4500020015	
SH4	4500150021	
SH4	4500180010	
SH4	4500200080	
SH4	4500200095	
SH3	4500170210	
SH2	4500150089	
SH2	4500150126	
SH2	4500150140	
SH2	4500150147	
SH2	4500210312	
SH2	4500210314	
SH2	4500210315	
SH2	4500210403	
SH2	5870010045	
SH2	5870010055	
SH2	5870010075	
SH2	5870010130	
SH2	5870010145	
SH1	4620010010	
SG1	4500040010	
SG1	4800010321	
SFL	4500030105	
SFL	4500030176	
SFK	4500030130	
SFK	4500030173	
SFK	4500150015	
SFJ	4500030130	
SF1	5200147300	
SF1	5200147310	
SF1	5200147320	
SF1	5200147380	
SF1	5200147430	
SF1	5200147440	
SF1	5200147600	
SF1	5200147670	
SF1	5200147710	
SF1	6021337900	
SF1	6301020258	
SE1	4500180010	
SE1	4500200080	
SD1	4500000001	
SD1	4500000003	
SD1	4500150404	
SD1	4500150412	
SD1	4500170010	
SD1	4500170011	
SD1	4500170012	
SD1	4500170015	
SD1	4500170017	
SD1	4500170040	
SD1	4500170060	
SD1	4500170065	
SD1	4500170070	
SD1	4500170080	
SD1	4500170090	
SD1	4500170100	
SD1	4500170110	
SD1	4500170120	
SD1	4500170130	
SD1	4500170140	
SD1	4500170150	
SD1	4500170180	
